,Make,count
206,EMBRAER-EMPRESA BRASILEIRA DE,6
207,MCDONNELL DOUGLAS AIRCRAFT CO,6
208,FISHER,6
209,SUKHOI,6
210,HAWKER SIDDELEY,6
211,MILLER,5
212,VELOCITY,5
213,SCOTTISH AVIATION,5
214,THRUSH,5
215,CLASSIC AIRCRAFT CORP,5
216,CULVER,5
217,TAYLORCRAFT AVIATION CORP,5
218,CHALLENGER,5
219,STODDARD HAMILTON,5
220,ZLIN,5
221,ECLIPSE AVIATION CORP,5
222,INTERSTATE,5
223,"RANS, INC.",5
224,RAYTHEON CORPORATE JETS,5
225,STEARMAN AIRCRAFT,5
226,JONES,5
227,PARTENAVIA,5
228,CALLAIR,5
229,MONOCOUPE,5
230,FANTASY AIR SRO,5
231,LIBERTY AEROSPACE INC.,5
232,EXTRA FLUGZEUGPRODUKTIONS-UND,5
233,HOWARD AIRCRAFT CORP.,5
234,BOEING STEARMAN,5
235,STEEN,5
236,PROGRESSIVE AERODYNE,5
237,CZECH AIRCRAFT WORKS,5
238,SIAI MARCHETTI,5
239,CURTISS-WRIGHT,5
240,PIPER/CUB CRAFTERS,5
241,PROGRESSIVE AERODYNE INC,5
242,CIRRUS DESIGN,5
243,ICON,4
244,"SMITH, TED AEROSTAR",4
245,CZECH SPORT AIRCRAFT A S,4
246,WACO CLASSIC AIRCRAFT CORP,4
247,CANADAIR LTD,4
248,TEXTRON AVIATION,4
249,COMMANDER,4
250,CESSNA ECTOR,4
251,FLIGHTSTAR,4
252,BEECH AIRCRAFT CORPORATION,4
253,NELSON,4
254,DASSAULT/SUD,4
255,AERO SP Z O O,4
256,CLARK,4
257,AIR CREATION,4
258,CASA,4
259,JUST AIRCRAFT LLC,4
260,MURPHY AIRCRAFT,4
261,PZL MIELEC,4
262,WEBER,4
263,FANTASY AIR,4
264,RAND,4
265,DENNEY,4
266,COLUMBIA,4
267,EXTRA FLUGZEUGBAU,4
268,ROBERTSON,4
269,GULFSTREAM AMERICAN CORP.,4
270,AMATEUR CONSTRUCTION,4
271,AEROPRAKT,4
272,WHEELER,4
273,AEROVODOCHODY,4
274,CONSOLIDATED VULTEE,4
275,XTREMEAIR GMBH,4
276,AIRCRAFT MFG & DEVELOPMENT CO,4
277,IAI,4
278,ZIVKO AERONAUTICS INC,4
279,MORRISEY,4
280,MUSTANG,4
281,ZENAIR LTD,4
282,SHORT BROS. & HARLAND,4
283,BEARHAWK,3
284,FLIGHTSTAR INC,3
285,DAVENPORT,3
286,WILSON,3
287,MEYERS INDUSTRIES INC,3
288,BEECH AIRCRAFT,3
289,BREEZY,3
290,HAWKER AIRCRAFT LTD,3
291,AIRBORNE,3
292,PHILLIPS,3
293,SONEX AIRCRAFT,3
294,SWANSON,3
295,NORTH AMERICAN/AERO CLASSICS,3
296,CGS AVIATION,3
297,COX,3
298,ULTRALIGHT AMERICA,3
299,AMATEUR BUILT AIRCRAFT,3
300,"PIPER AIRCRAFT, INC.",3
301,VARGA,3
302,CZECH SPORT,3
303,TAYLORCRAFT AVIATION CORP.,3
304,COLONIAL,3
305,INIZIATIVE INDUSTRIALI ITALIAN,3
306,OSPREY,3
307,WHITTMAN,3
308,THOMPSON,3
309,HOWARD AIRCRAFT,3
310,SMITH AEROSTAR,3
311,HAWKER BEECH,3
312,HOWARD,3
313,AVID AIRCRAFT,3
314,NORTH WING,3
315,REMOS,3
316,MCDONNELL-DOUGLAS,3
317,VOLMER AIRCRAFT,3
318,BRM AERO,3
319,BIRD,3
320,SHORT BROTHERS,3
321,HOMEBUILT,3
322,EVANS AIRCRAFT,3
323,COOK,3
324,PHANTOM AERONAUTICS,3
325,TED SMITH,3
326,STARDUSTER,3
327,MORAVAN,3
328,AMERICAN GENERAL ACFT CORP,3
329,S C AEROSTAR S A,3
330,AVIONS ROBIN,3
331,COMMONWEALTH,3
332,FPNA LLC,3
333,BENNETT,3
334,RAINBOW SKY REACH (PTY) LTD,3
335,GOLDEN CIRCLE AIR,3
336,DASSAULT AVIATION,3
337,ECLIPSE AVIATION CORPORATION,3
338,AEROPRO CZ S R O,3
339,SKYKITS CORP,3
340,AEROSTAR S A,3
341,SAVAGE,3
342,FOUND ACFT CANADA INC,3
343,MASON,3
344,ROSE,3
345,CITABRIA,3
346,AVRO,3
347,DOWNER,3
348,PORTERFIELD,3
349,VARIEZE,3
350,S.O.C.A.T.A.,3
351,MUSE,3
352,PITTS AEROBATICS,3
353,MORRISON,3
354,EDGE,3
355,PITTS SPECIAL,3
356,QUAD CITY ULTRALIGHT AIRCRAFT,3
357,PACIFIC AEROSPACE CORP LTD,3
358,ICON AIRCRAFT INC,3
359,MX AIRCRAFT LLC,3
360,AEROSTAR ACFT CORP OF TEXAS,3
361,JIHLAVAN,3
362,NEIVA,3
363,AMERICAN AVIATION CORP. (AAC),3
364,MAXAIR,3
365,CAPELLA,3
366,DIAMOND AIRCRAFT,3
367,HONDA AIRCRAFT CO LLC,3
368,CONSTRUCCIONES AERONAUTICAS SA,3
369,ECLIPSE AVIATION,3
370,CRAWFORD,3
371,TRAVEL AIR,3
372,STOLP STARDUSTER,3
373,BICE DAVID E,2
374,DAHER,2
375,DAVIS MICHAEL J,2
376,PIGGOTT JOHN H,2
377,FISHER MICHAEL E,2
378,HAGERTY,2
379,G-DAWG LLC,2
380,ACRO SPORT,2
381,CANADIAN CAR & FOUNDRY,2
382,NORD,2
383,AIRCRAFT MFG & DESIGN LLC,2
384,RANS INC,2
385,CARPENTER,2
386,BARRON,2
387,STARDUSTER II,2
388,AEROFAB INC,2
389,JAHNS,2
390,ALEXANDER,2
391,737,2
392,FINNEY THORP,2
393,HEMP TIMOTHY,2
394,REIMS AVIATION SA,2
395,UNIVERSAL,2
396,NORTHWING,2
397,GRUMMAN AIRCRAFT ENG CORP,2
398,THOMAS,2
399,EXPRESS,2
400,VAUGHN,2
401,GORDON,2
402,MURPHY,2
403,CALVIN NATE H,2
404,HEINLEIN GEORGE,2
405,GROSCH,2
406,AERO ADVENTURE,2
407,SCHUMACHER,2
408,THATCHER,2
409,AERO VODOCHODY AERO. WORKS,2
410,ROCKWELL INTL,2
411,COMMANDER AIRCRAFT COMPANY,2
412,MEYER,2
413,HAWKER-BEECHCRAFT,2
414,MARTIN,2
415,HATZ,2
416,CAMPBELL EARL S JR,2
417,FLAGG,2
418,AVIONS MAX HOLSTE,2
419,REMOS AIRCRAFT GMBH FLUGZEUGBA,2
420,QUICKSILVER ENTERPRISES INC,2
421,EXPERIMENTAL,2
422,DANIELS ALAN L,2
423,INTERPLANE,2
424,JOE SALOMONE,2
425,REIMS-CESSNA,2
426,FUNK,2
427,"WOLSELEY MOTORS, INC.",2
428,WSK-MIELEC,2
429,BUSHBY,2
430,DOWNER AIRCRAFT INDUSTRIES,2
431,M-SQUARED,2
432,S.C. AEROSTAR S.A.,2
433,STOL,2
434,ARION,2
435,GATES LEAR JET CORP.,2
436,HONDA AIRCRAFT,2
437,SKYSTAR,2
438,COLYAER SL,2
439,THURSTON,2
