,Make,count
913,MAARTEN H VERSTEEG,1
914,PRIZIO,1
915,CLAYHOLD,1
916,FK LIGHTPLANES,1
917,HALLENDORF TOM,1
918,WEINZIERL,1
919,PETER W STEVENS,1
920,CRAIG C WALLS,1
921,MAHON PAUL D,1
922,FOGG,1
923,HILLAM SCOTT L,1
924,WILLIAMS CHRISTOPHER T,1
925,VICTOR M CORDERO,1
926,SABRENA,1
927,PARTENAVIA S.P.A.,1
928,ROGERS GEORGE T,1
929,GLOS WALLIS RICHARD JR,1
930,SNYDER TODD W,1
931,CROW,1
932,WALKER PHIL,1
933,FRANKE RUSSELL J,1
934,ATKINS,1
935,EDWARD W GRAY,1
936,SCHOONOVER JOHN D,1
937,NEEDHAM,1
938,JANS ROBERT,1
939,WING HAROLD,1
940,POOLE ROBERT C JR,1
941,DEAN LESLIE N,1
942,ALEXANDER DUANE A,1
943,MASON ROBERT,1
944,ADOLPHSON,1
945,HOOK,1
946,"NEWGENT, BARRY",1
947,ESKILDSEN,1
948,HUGHES CHARLES R,1
949,STEELE RALPH BRUCE,1
950,"ANKESTAR, BRADLEY D.",1
951,THOMAS DAVID W,1
952,PECK NORMAN O,1
953,TOMISIN THOMAS J,1
954,MAXFLY INC/MCKAY WM,1
955,OWENS,1
956,STRIBLING,1
957,ANDRE KOSTRZEWA,1
958,ROBIDOUX LIONEL,1
959,KAUFMANN,1
960,JEREMIAH JACKSON,1
961,BREWER JAMES M,1
962,STRIBLING JAMES L,1
963,HEINZ,1
964,BENTON FRED D,1
965,MALLORY CHRISTOPHER L,1
966,SHOEMAKER JAMES B,1
967,NORTH AMERICAN-MEDORE,1
968,TRIAD INTERNATIONAL TECHNOLOGY,1
969,ST CLAIR,1
970,AVIONS FAIREY,1
971,DOMBROSKI FRANK,1
972,TTX AIR LLC,1
973,BLUMER,1
974,ISAAK PAUL G,1
975,NELSON LARRY L,1
976,781569 INC,1
977,EMBRAER AIRCRAFT,1
978,MCNULTY JOHN S,1
979,ALLEN JAN A,1
980,FLIGHTSTAR SPORTPLANES,1
981,BOSWELL JOHN J,1
982,FLEMING ELDRIDGE E,1
983,LUY WAYMAN,1
984,QUARNOCCIO,1
985,KINCAID WADE,1
986,THOMPSON BRUCE D,1
987,MARINO,1
988,JOHNSON GARRET W,1
989,GRUMMAN AIRCRAFT COR-SCHWEIZER,1
990,KRIPS JACK E JR,1
991,JIM BRADDOCK,1
992,MILLHOUSE D SCOTT,1
993,"COOPER, DAVID W.",1
994,WESTER/STEIGER,1
995,DURFEE FRED,1
996,HOWARD M. SHEPHERD,1
997,CLAYTON GERALD H,1
998,DAVID W OAKES,1
999,DEAN DAVID E,1
1000,NASA AMES RESEARCH CENTER,1
1001,WOODS RUFUS III,1
1002,PHELPS,1
1003,FOLLAND AIRCRAFT CO LTD,1
1004,JDT,1
1005,BOSON,1
1006,DORMAN,1
1007,GARY W BETTIS,1
1008,DRESSEN,1
1009,WILSON WILLIAM M,1
1010,WAMPACH,1
1011,SHELDRICK JOHN H,1
1012,GARLAND,1
1013,STIEGELMEYER JOHN R,1
1014,ULTRAMAGIC SA,1
1015,YOUNGS WILLIAM D,1
1016,GRAVES,1
1017,AEROTEK INC,1
1018,VINK ROBERT D,1
1019,THOMSEN,1
1020,BOEING-STEARMAN,1
1021,"AVIAT AIRCRAFT, INC.",1
1022,AVERY JACK H,1
1023,DIAMOND AICRAFT INDUSTRIES INC,1
1024,DANKELMAN PETER G,1
1025,CHARLES PEET,1
1026,MARTIN CHARLES A,1
1027,CHICCO,1
1028,OCONNOR PAUL A,1
1029,NBB INC,1
1030,TITAN AEROSPACE HOLDINGS INC,1
1031,MILLER RAYMOND A,1
1032,TOERNER BOB,1
1033,MARSH AVIATION,1
1034,KOVARS GARY D,1
1035,FOXAIR LLC,1
1036,HUGHES AERO CORP,1
1037,VIGUIE G/VIGUIE M,1
1038,INDUS AVIATION INC.,1
1039,CGS AVIATION LLC,1
1040,TUBERVILLE,1
1041,WINSTON W WALKER,1
1042,SLINGSBY,1
1043,DOUBLEDAY DONALD,1
1044,HUEBBE,1
1045,HENRY STEVEN J,1
1046,"LANGSTON, FREDERICK L",1
1047,WILLIAMS GLENN,1
1048,BELL BILL,1
1049,MCCRARY BOBBY C JR,1
1050,ROSS H/HERRIOTT M,1
1051,SIEGEL GERALD,1
1052,STAFFORD WAYNE H,1
1053,CORBEN BABY ACE,1
1054,GASTON THOMAS D,1
1055,DAVIS BENNY,1
1056,FUNK RALPH,1
1057,CAMPBELL,1
1058,EALAND CHARLES,1
1059,GALLAGER JOHN C,1
1060,CISMOWSKI,1
1061,BACKOVICH GEORGE C,1
1062,NOLIN,1
1063,DARNEY,1
1064,CESSNA REIMS,1
1065,LORENTZEN,1
1066,STANLEY ARTHUR FREEMAN,1
1067,SACCIO THOMAS A,1
1068,MANWEILLER,1
1069,BARGER JERRY L,1
1070,MILLER GREGORY S,1
1071,DIAMOND AIRCRAFT INDUSTRIES IN,1
1072,LUNDAK ROBERT,1
1073,WILLIAM M OPRENDEK,1
1074,TIFFT,1
1075,BUTCHER RUSSELL A,1
1076,QUICKSILVER EIPPER ACFT INC,1
1077,PREISS VANS,1
1078,MCHOLLAND,1
1079,JOHNSON DAVID EARL,1
1080,THOMAS R WADE,1
1081,SAAB-SCANIA AB,1
1082,SCHUPP EDWARD W,1
1083,HOKE BOBBY F,1
1084,JONES RONALD C,1
1085,JIMENEZ,1
1086,BOEING 777-306ER,1
1087,LANSHE AEROSPACE,1
1088,MCCURRY CHARLES P,1
1089,PICARD ROY J,1
1090,DAVID SHELL,1
1091,SPAULDING ERROL,1
1092,KERR JOHN A,1
1093,AEROSPOOL,1
1094,MERIAN RICHARD F,1
1095,FIEBICH PAUL DEAN,1
1096,BEDECORP LLC,1
1097,SHORT BROTHERS & HARLAND LTD.,1
1098,RENNICKE MIDGET MUSTA,1
1099,ROBERT C. HANSON,1
1100,JAMES KILROY,1
1101,MICHAEL WILSON,1
1102,WILLIAM D DURKEE,1
1103,CUB CRAFTER,1
1104,AHRENS GERD H,1
1105,GOUDIE,1
1106,SCHMIDT ALBERT D,1
1107,FERDON,1
1108,BAUER THOMAS G,1
1109,FARTHING JAMES W II,1
1110,MDS FYING LLC,1
1111,PIONEER,1
1112,PAC,1
1113,GIBBS,1
1114,BRUCT J MYERS,1
1115,SHANNON WILLIAM,1
1116,EAGLESTON JOHN H,1
1117,CHRISTOPHER JON BROWN,1
1118,SCHNEIDER RICHARD J,1
1119,RICHARD LACOURSE,1
1120,ROBERTSON JAMES F,1
1121,EVO13 LLC,1
1122,JOHNSON JOEL H,1
1123,ZENITH ACFT CO,1
1124,ARNOLD,1
1125,BOMBARDIER CANADAIR,1
1126,ADAMS DONALD L,1
1127,MCMURRAY DAVID C,1
1128,ACKLAND JEFFREY DEAN,1
1129,JEROME A BAAK,1
1130,NEBERT,1
1131,FREDERICK HAYS-ROTH,1
1132,TEUNIS,1
1133,OFFCHISS EDWARD R,1
1134,HERMANN BJORN,1
1135,CRAIG W SHERMAN,1
1136,BELEW MARSHALL D II,1
1137,SCHRIEBER ROBERT L,1
1138,ADAMS,1
1139,MEYER CLAIR O,1
1140,DITTENBER THOMAS J,1
1141,JACKSON FRED M,1
1142,KNAUF,1
1143,BAILEY ROBERT,1
1144,MEYER GEOFFREY A,1
1145,GULFSTREAM SCHWEIZER A/C CORP,1
1146,COSMOS PHASE II,1
1147,SIMMONS WILLIAM E,1
1148,ERICK MAGNO & ASSOC PA,1
1149,BRUMWELL,1
1150,ZACH VANS,1
1151,BOLLINGER ROBERT L,1
1152,LANDRUM KELLY T,1
1153,BRM AERO SRO,1
1154,ROSS ALFRED K/ONEILL TERRENCE,1
1155,DIVIS S L/WALTRIP A J,1
1156,GINGRAS MICHEL,1
1157,ELEMDORF,1
1158,AIRPLANE FACTORY (PTY) LTD THE,1
1159,COULTER HUGH CLARKE,1
1160,ALPI AVIATION,1
1161,177MF LLC,1
1162,KINSLER ARTHUR PAUL,1
1163,MORRIS THOMAS LEE,1
1164,PAZMANY,1
1165,HOFFIUS STOWE,1
1166,SAM R PEACHEY,1
1167,KALMAN GEORGE,1
1168,SANTSCHI CHRIS A,1
1169,JOHN V RAWSON JR,1
1170,LAURITSEN RALPH M,1
1171,WONDER MICHAEL S,1
1172,KENNETH A BERGER,1
1173,SMYTHE DONALD F,1
1174,FDR601 LLC,1
1175,SIBLEY,1
1176,EVOLUTION TRIKES,1
1177,MAZUREK KEITH P,1
1178,DOYLE JAMES E,1
1179,SKYRAIDER,1
1180,WILEY,1
1181,HANSON LONN,1
1182,COTE JAMES,1
1183,DAVID L THOMPSON,1
1184,DAVID FITZGERALD,1
1185,PHANTOM AIRCRAFT CO,1
1186,BARGER STEVE M,1
1187,JACKSON JEREMIAH D,1
1188,EIPPER FORMANCE INC,1
1189,TERRY W. THAYER,1
1190,BECKER ELMER L,1
1191,FRANKE ROLAND,1
1192,THIBAULT MICHAEL L,1
1193,HERDER MICHAEL,1
1194,RANS AIRCRAFT,1
1195,NASDALLA,1
1196,THOMAS C SIKES,1
1197,BERTAGNA JOHN,1
1198,SCHAFER RICK W,1
1199,OHLGREN BRENT E,1
1200,LORENZ STEPHEN,1
1201,KLAAS DEVELOPMENT INC,1
1202,STEVEN R MCNEESE,1
1203,BRIAN TURNER,1
1204,ZIMMERMAN,1
1205,GARRAMONE MIKE A,1
1206,SLAUGHTER MIKE,1
1207,LAWSON RONALD S,1
1208,ZUBAIR S KHAN,1
1209,BAILEY-MOYES MICROLIGHTS,1
1210,DELCONTE EMIDIO J,1
1211,PEKOLA JAMES W,1
1212,MCKENZIE DOUGLAS E,1
1213,DANTONIO,1
1214,HOLMLUND VICTOR P,1
1215,ODEN WELDON PAT,1
1216,RENDER,1
1217,BLACK CHRISTOPHER,1
1218,BOSCO DON,1
1219,WILDERODER,1
1220,SILER RONALD E,1
1221,JANNAKOS GREGORY P,1
1222,WINDER ROBERT S,1
1223,ROSCHER FREDERICK,1
1224,FEDERSEN WALTER,1
1225,SUTTON WILLIAM J,1
1226,LIMING LOUIS L,1
1227,APPLEGATE,1
1228,SCHABACKER KONRAD J,1
1229,WAG-A-BOND TRAVELLER,1
1230,PHILLIP B ROLLS,1
1231,HONDA,1
1232,BURG FREDERICK S,1
1233,DAVIS DAN B,1
1234,777,1
1235,JABIRU USA SPORT AIRCRAFT,1
1236,MAGNUS AIRCRAFT LLC,1
1237,FORISCH EDWARD,1
1238,ROWE DENNIS A,1
1239,HINE T L/JOHNSON R,1
1240,THRUSH AIRCRAFT LLC,1
1241,DAVIS DONALD M,1
1242,MICHAEL J ROBBINS,1
1243,SPITFIRE,1
1244,MOBI-LIGHT,1
1245,MEYERES F L/MEYERES M M,1
1246,JABIRU AIRCRAFT PTY LTD,1
1247,ISRAEL AEROSPACE INDUSTRIESLTD,1
1248,MARQUART,1
1249,STORM FURY,1
1250,LEGACY,1
1251,POST,1
1252,GEORGE MATTHEW WAGONER,1
1253,ZLIN AVIATION,1
1254,M7 AEROSPACE,1
1255,BLEVINS KAMRON,1
1256,GROB,1
1257,HUTSON,1
1258,FORD STEPHEN L,1
1259,AFICIONADO,1
1260,ECLIPSE,1
1261,WALTON DANIEL J,1
1262,QUAD CITY AIRCRAFT CORP,1
1263,EMBRAER SA,1
1264,MOONEY INTERNATIONAL CORP,1
1265,CREEK MICHEL W,1
1266,PLANTE,1
1267,RANDY WAYNE MALONEY,1
1268,HECKEL,1
1269,ZENAIR ZODIAC,1
1270,RIVERS LINDSEY LEE,1
1271,ABBETT GERRY,1
1272,GATES LEARJET CORP,1
1273,BABENCO HENRY D.,1
1274,TURCOTTE JR ROBERT L,1
1275,STEINMAN MARK E,1
1276,DOUGLAS K THOMPSON,1
1277,VARNER DAVID L,1
1278,PAGE JOSEPH E,1
1279,HARRY CROSBY (VANS),1
1280,MYRON OLESON,1
1281,ESLINGER C W/ESLINGER S M,1
1282,SCOTT MILLS,1
1283,PAYNE STEVEN R,1
1284,BAILEY N MOYES,1
1285,JOPLIN,1
1286,DEHAVILLAND CANADA,1
1287,GARY JAMES LAIL,1
1288,TURBINE CUBS OF WYOMING LLC,1
1289,MADERA,1
1290,RICHARD S CARPENTER,1
1291,DRIVER,1
1292,KEVIN P STOLHAMMER,1
1293,MILLSAP DENNIS,1
1294,BOROM,1
1295,STEPHEN L KRUER,1
1296,KUYKENDALL CHARLES,1
1297,WEISS DENIS,1
1298,LITEFLITE PTY LTD,1
1299,LARRY H SLIGAR,1
1300,ALASKAN AIR ADVENTURES LLC,1
1301,SWANN LYNN J,1
1302,EARTHSTAR AIRCRAFT,1
1303,WHEELER C / WHEELER K,1
1304,WESTON JAMES,1
1305,GOODSELL LYNN A,1
1306,ROBERT TREMBLY,1
1307,MCCLURE B J,1
1308,JOHN M CORNEAL,1
1309,MUNSON ROGER J,1
1310,MARK COBY,1
1311,PHILLIPS RALPH W,1
1312,PZL WARSZAWA-OKECIE,1
1313,MAXSON PHIL,1
1314,KEVIN LIPPERT,1
1315,CURNUTT ELTON E,1
1316,GARRISON RONALD L,1
1317,COVEY,1
1318,ANTENOR VELAZCO,1
1319,TONY DUBEANSKY,1
1320,WARE JERRY L,1
1321,BOLSTRIDGE WALLACE R,1
1322,VINING JOHN K,1
1323,DEWSNUP DAVE,1
1324,FERACA EDWARD M,1
1325,CO Z,1
1326,CUNNINGHAM,1
1327,MARLOWE THOOFT,1
1328,MORIARTY MARVIN,1
1329,HALL,1
1330,COZY,1
1331,SMYTH,1
1332,THOMAS LEE,1
1333,REED MIKE,1
1334,FOXWORTHY RICK A,1
1335,WINGTIP TO WINGTIP LLC,1
1336,"LLEWELLYN, WARWINC W",1
1337,KITTY HAWK,1
1338,HIGGINS JOHN H/WILLIAMS JOHN D,1
1339,NEW GLASAIR,1
1340,SYMPHONY AIRCRAFT IND INC,1
1341,JAVRON,1
1342,ANGEL AIRCRAFT CORPORATION,1
1343,JOHN SAMPLE,1
1344,TEAM ROCKET F-1,1
1345,THUNDER MUSTANG,1
1346,GLASSAIR,1
1347,MICHAEL A. WATSON,1
1348,MERWIN,1
1349,LAVIA ARGENTINA,1
1350,SCODA AERONAUTICAL,1
1351,GIGER FRANK R,1
1352,CARBON,1
1353,CAPES,1
1354,DALE BERKBIGLER,1
1355,DAVID SHOTWELL,1
1356,GRIFF,1
1357,JAMES,1
1358,KARNS,1
1359,TRELLA,1
1360,QUICKSILVER AIRCRAFT NORTHEAST,1
1361,KIRK ELLIS WENDELL,1
1362,HOWARD STEVEN C,1
1363,SKYBOLT,1
1364,MERIT AVIATION LLC,1
1365,DONALD BERNARD HIGGS,1
1366,AIRVAN,1
1367,THOMAS WILD,1
1368,WILLIE BENNETT,1
1369,CASHEN,1
1370,BRUMBAUGH DAVID R,1
1371,JUDD,1
1372,VALLDEJULI JOHN A,1
1373,STODDARD-HAMILTON,1
1374,REIMS AVIATION CESSNA,1
1375,ORLICAN,1
1376,LIGHTNING AVION EAB LLC,1
1377,RAF,1
1378,AMERICAN LEGAND AIRCRAFT,1
1379,GREG MILLER,1
1380,WAG AERO,1
1381,DAKOTA,1
1382,PERFORMER,1
1383,SIEBEL,1
1384,USKOSKI,1
1385,MCSWAIN,1
1386,TEAM ROCKET,1
1387,AVIAMILANO,1
1388,JEWETT,1
1389,PILATUS AIRCRAFT,1
1390,RAVEN AIRCRAFT CORPPRATION,1
1391,EVOLUTION,1
1392,ANG,1
1393,STEPHENS WILLIAM E,1
1394,CZECH,1
1395,KJOSTAD JORGEN A,1
1396,RALPH C KIMBALL,1
1397,AERO BRISTELL,1
1398,CCX-2000-0081 LLC,1
1399,PEARSON,1
1400,AMERICAN EUROCOPTER,1
1401,MONTANA,1
1402,SEELE,1
1403,OSPREY 2,1
1404,BOWER,1
1405,RANS S-12,1
1406,PIPISTREL ITALIA SRL,1
1407,BUCKMAN,1
1408,HOLMGREN,1
1409,KEUTHAN AIRCRAFT CORP,1
1410,DAYTON-WRIGHT,1
1411,MUDRY,1
1412,N126C LLC,1
1413,"RHOADS, LARRY E",1
1414,KADE,1
1415,OMF,1
1416,TEAM,1
1417,COYOTE,1
1418,CHAD LEWIS,1
1419,KOSTRAZEWA ANDRE,1
1420,VOLMER,1
1421,LANKENAU,1
1422,NEW KOLB AIRCRAFT CO LLC,1
1423,FURLONG,1
1424,COMCO IKARUS,1
1425,LORAH ELDEN A,1
1426,DARYL BAKER,1
1427,EASTER WILLIAM C,1
1428,UNITED CONSULTANTS,1
1429,VULCANAIR,1
1430,WHITTEN ROBINSON,1
1431,MILLER-THORP,1
1432,HOLLAND MIKE,1
1433,5 RIVERS LLC,1
1434,HOLLIER B C,1
1435,MESCHLER GARY R,1
1436,C A S A,1
1437,ICP SRL,1
1438,C M STUHRENBERG/P C POLETE,1
1439,SHORT,1
1440,HOFFMAN DAVID J,1
1441,THOMAS WAYNE L,1
1442,FALL MARTIN,1
1443,SMYTH SIDEWINDER,1
1444,JACKSON DENNIS,1
1445,BOEING (STEARMAN),1
1446,FLIGHT DESIGN GENERAL AVN GMBH,1
1447,RAY E ROBERTS,1
1448,JAVRON EXPERIMENTAL,1
1449,KNIGHT,1
1450,MXR TECHNOLOGIES INC,1
1451,FAHEY WILLIAM J,1
1452,ALLAN G PIXLEY,1
1453,BOYLE JOSEPH E,1
1454,FISCHER,1
1455,SHEA,1
1456,AMD,1
1457,BURRILL STEVEN E,1
1458,PEPPERD GREG J,1
1459,CRAWFORD JAMES R,1
1460,BAKER EUGENE L,1
1461,ROBERT FITTS,1
1462,BUCKER,1
1463,JAMES C GEYMAN,1
1464,GMK VENTURES LLC,1
1465,BLACKSHAPE,1
1466,BELIEVER,1
1467,KAKELDEY RONALD O,1
1468,CASSULT RACER,1
1469,ARNOLD J/JONES D L,1
1470,SPAUR CHARLES,1
1471,GEIST DONALD R,1
1472,DUFFY RUSSELL A,1
1473,STUCKY STEVEN D,1
1474,LEON E EVERETT,1
1475,STORY CHARLES BRAD,1
1476,SUTPHIN JOHN E,1
1477,BUXBAUM MARK EDWARD,1
1478,WASZAK ARTHUR B,1
1479,GREEN L/GILNER D,1
1480,KINGERY MICHAEL C,1
1481,YATES MIKE E,1
1482,ST CLAIR DAVID L,1
1483,EVANS JAMES JAY,1
1484,MCGLAUGHLIN RICHARD,1
1485,AEROPRAKT MANUFACTURING SP ZOO,1
1486,BALCOMB KENNETH C III,1
1487,PERYERA ARNET,1
1488,SCOTT TERRY G,1
1489,RHINEHART,1
1490,STEPHEN J HOFFMAN,1
1491,SCHMIDT RANDALL M,1
1492,ECLIPSE AEROSPACE INC,1
1493,PIPISTREL D O O,1
1494,MULHOLLAND ROBERT A,1
1495,DETRICK DONALD G,1
1496,PHANTOM,1
1497,GREG HOBBS,1
1498,JAMES R DERNOVSEK,1
1499,SWENSEN,1
1500,SEAMAX AIRCRAFT,1
1501,AAA AIRCRAFT LLC,1
1502,ANGUS WATT,1
1503,CONWAY PHILIP J,1
1504,KNOTT VERNON W,1
1505,MCKENNA GLEN R,1
1506,WILLIAM L BELL,1
1507,SKILES KENNETH C,1
1508,KUMHYR DAVID B,1
1509,JACQUNEAUX GLEN R,1
1510,WREN RONNIE D,1
1511,SLIPSTREAM,1
1512,MOSSMAN MICHAEL D,1
1513,CORNFORD CRAIG H,1
1514,MERIWETHER JON,1
1515,WAGAERO,1
1516,HIBBARD NORMAN E,1
1517,HARTUNIAN ROBERT,1
1518,ARTER WARREN,1
1519,SHIREY DAVID A,1
1520,MARY ALEXANDER,1
1521,SEABOURN SCOTT R,1
1522,SCODA AERONAUTICA LTDA,1
1523,MCDANIEL JAMES D,1
1524,MEYER FRED J,1
1525,SUPERMARINE,1
1526,TANDEM,1
1527,ZUBER THOMAS P,1
1528,BEVILACQUA JEFFREY L,1
1529,CAVALIER,1
1530,RANDAL C REIMER,1
1531,Z-HI-MAX,1
1532,GREGG ORIGER,1
1533,HALL TERRENCE / HALL CATHIE,1
1534,JACK A FROHBIETER,1
1535,SANTA FE AIRCRAFT LLC,1
1536,GERALD JONES,1
1537,ISSITT,1
1538,ERIC A MUNZER,1
1539,JAHNKE LIONEL G,1
1540,RAY EARL D,1
1541,MONTE CLARK,1
1542,MINI-MAX,1
1543,CRUISER,1
1544,WALTER TACHIKI,1
1545,LEACH MICHAEL,1
1546,MILLER ROGER,1
1547,WIGHT ALBERT A,1
1548,SONERAL,1
1549,CULP JOHN S,1
1550,CESSNA AIRCRAFT CO.,1
1551,SHARP RALPH R,1
1552,COLLINS ROBERT S,1
1553,HALEY,1
1554,FLYING K ENTERPRISES,1
1555,STOUT GARRY V,1
1556,ACRODUSTER,1
1557,SCHMITT,1
1558,MANTOOTH,1
1559,SEGARRA LUCAS JR,1
1560,KLAPP PETER A,1
1561,AVE STEPHEN,1
1562,JOEL A BOWKER,1
1563,BULFER JAMES G,1
1564,HERRICK DAVID A,1
1565,QUAD CITY ULTRALIGHT,1
1566,GORDON SCOT A,1
1567,BELY,1
1568,COLE PAUL B,1
1569,FONVILLE,1
1570,GEORGE A. THIEL,1
1571,WYDER ROBERT G,1
1572,BACH JOSEPH E,1
1573,BLAKE D BARRYMORE,1
1574,CHRISTAVIA,1
1575,JOBY AERO INC,1
1576,EMBRAER EXECUTIVE AIRCRAFT INC,1
1577,DIETRICH RYAN,1
1578,SAWBY SCOTT,1
1579,MONNETT,1
1580,PIPER-HARRIS,1
1581,SUPERIOR,1
1582,KYLE M SWARD / LARRY W SWARD,1
1583,CHARLES R KYLE,1
1584,BLUE SIDE UP INC,1
1585,JUSTICE FRANK K,1
1586,WINGREN NORMAN,1
1587,QUICKSILVER AIRCRAFT CO,1
1588,SPARKS RALPH A,1
1589,PYKA INC,1
1590,TWENTY SECOND STREET LLC,1
1591,EASTABROOKS JOHN T,1
1592,FRAZIER ROBERT L,1
1593,CO-Z DEVELOPMENT CORP,1
1594,SORREL,1
1595,GRUMMAN AMERICAN AVN. CORP,1
1596,VAN LEHN RICHARD GLENN,1
1597,FOSTER WILLIAM D,1
1598,HENRY L BERRIER JR,1
1599,PF CUB FLYERS LLC,1
1600,HENDERSON CLIFFORD S,1
1601,RAVIRAJ MOHIL,1
1602,CHRISTOPHER P GAGE,1
1603,MOYNIHAN RICHARD D,1
1604,SHELTON JOSEPH G,1
1605,MCKENZIE JOHN P,1
1606,DARRELL D. DUGGER,1
1607,ROSS JONATHAN,1
1608,GREGORY S MILLER,1
1609,AXELL CHARLES L,1
1610,HONDA JET,1
1611,TUTTLE BRUCE C,1
1612,BARBER ROBERT L,1
1613,S D MARTIN,1
1614,DWYER MICHAEL D,1
1615,HARTZ PAUL,1
1616,NORDQUIST RICHARD A,1
1617,PARADISE AIRCRAFT USA LLC,1
1618,ADAMS DENNIS ALLEN,1
1619,SACHSE STEPHAN,1
1620,FPNA,1
1621,FERNANDES DALE R,1
1622,DAVID S MEEK,1
1623,S.A.N.,1
1624,KESSINGER ROGER L,1
1625,MICHAEL S. LOGAN,1
1626,BOB FREDERICK,1
1627,WILLIAM D TELFAIR/ZIA Z TELFAI,1
1628,LEVY ADAM V,1
1629,AG-CAT CORPORATION,1
1630,MCKENNA,1
1631,TURBO THRUSH,1
1632,AIRPARTS NZ LTD,1
1633,PRESCOT E. WILKIE,1
1634,WARD CHRISTOPHER BARRY,1
1635,WELLS JOHN L JR,1
1636,AERO-ACE,1
1637,BARNES RICHARD B/HOWE MICHAEL,1
1638,JORDAN JOHN,1
1639,URBANCZYK MIROSLAW,1
1640,NUNLEY,1
1641,NORTH WING UUM INC,1
1642,SLIP STREAM,1
1643,LAWRENCE O NOLTE,1
1644,CODY HAWKINS,1
1645,RITTER JOHN I,1
1646,CHICCO MIGUEL E,1
1647,PAUL R SEIPT,1
1648,MALINOWSKI WALTER S,1
1649,ZWICKER MURRAY R,1
1650,SCHRODER DAVID,1
1651,HY-TEK,1
1652,ROBERT E BOUNDS,1
1653,ADRIAN GEORGE W,1
1654,JOHNSON KENNETH,1
1655,JOHN MURPHY,1
1656,REUPERT MARK,1
1657,BROKAW BERGON F,1
1658,JOHNSON KENNETH W,1
1659,SILENCE,1
1660,WEAVER STANLEY R/ROBINSON SCOT,1
1661,EVOLUTION AIR LLC,1
1662,CGS,1
1663,THOMAS E HUDZINSKI,1
1664,AMSTUTZ CURTIS J,1
1665,ARCTIC AIRCRAFT CO INC,1
1666,AVIONS MUDRY CIE,1
1667,JESS LLC,1
1668,ERNEST T CHRISTLEY,1
1669,TAPPEN CHRIS,1
1670,REIMS AVIATION S.A.,1
1671,KENNETH B HINES,1
1672,CHARLES J NORRIS,1
1673,GERALD DONOVAN,1
1674,CLARK JAMES T,1
1675,JANSEN,1
1676,ROGER M ALLEN,1
1677,KING JOHN E JR,1
1678,ROSE HERBERT D,1
1679,CHARLES D WALKER,1
1680,KNAPP,1
1681,BRADLEY RODERICK W,1
1682,BOYD BRUCE,1
1683,RICH,1
1684,MIKE REED,1
1685,GREENE R/GREENE S,1
1686,HOSTEIN K/HOSTEIN S,1
1687,JAMES M RAULERSON,1
1688,PAUL GAYWOOD E,1
1689,PACIFIC AEROSPACE LTD,1
1690,HUNTER GEORGE,1
1691,KERR GERALD,1
1692,WALKER EDGAR E,1
1693,DEDEAUX GARY G,1
1694,CROFT ROBERT C,1
1695,JEFF JARDINE,1
1696,COBALT AIRCRAFT INDUSTRIES INC,1
1697,MICHAELIAN,1
1698,CHAPMAN,1
1699,MENZIMER GARY RAY,1
1700,KUBASSEK DAVID,1
1701,SIMMONS GARY F,1
1702,ENDLER GLASAIR/GLASAIR 1-TD,1
1703,SPANI WAYNE M,1
1704,PERNER/PITTS,1
1705,EVOLUTION 19,1
1706,SALERNO KENNETH G JR,1
1707,MICHAEL DEAN GRISSOM,1
1708,CANION MICHAEL W,1
1709,MCKAY GENE,1
1710,RADFORD DARREL F,1
1711,STEELE,1
1712,GILBERT THOMAS JEFFREY,1
1713,MITCHELL DERRYLE V,1
1714,BRITISH AIRCRAFT CORP.,1
1715,HILLARD CHARLIE R,1
1716,MCINTOSH DONALD W,1
1717,MARK GOLDBERG,1
1718,THOMAS J HANKAMP,1
1719,RANDALL MARVIN L,1
1720,JAMES D RIGGS,1
1721,NELSON SYDNEY,1
1722,SOCATA-GROUPE AEROSPATIALE,1
1723,CHANCEY GERRY M,1
1724,DRAKE,1
1725,ANDREW HAROLD,1
1726,VOLAIRCRAFT,1
1727,CHAUDOIN GEORGE S,1
1728,FULLER NEIL H,1
1729,JAMES BRUTON,1
1730,ALGIMANTAS JONUSAS,1
1731,ROBINSON STEWART J,1
1732,MILHOLLAND,1
1733,MELBORN JOE B,1
1734,ALLEN ROBERT,1
1735,MICKLER LARRY J,1
1736,NEWKIRK THOMAS RAY,1
1737,HATCHER RODERICK R,1
1738,MAKELA,1
1739,NORTHLAND AVIATION LLC,1
1740,RYAN W GROSS,1
1741,ROE CLEO,1
1742,HADDOW WILLIAM H,1
1743,HARING CLAY,1
1744,STAMPER,1
1745,JOHNSON KENNETH R,1
1746,AERO SMART SOLUTIONS INC,1
1747,PAHNKE VERNON A,1
1748,THOMAS B MCGRATH,1
1749,TATELMAN-PITTS,1
1750,WIGHT,1
1751,VALLORIC CARL STEPHEN,1
1752,P Z L -WARSZAWA-CNPSL,1
1753,SIMMONS NOEL,1
1754,HEBERLEIN RONALD,1
1755,SCHNEIDER K/COOK C,1
1756,ARION SKYS OPEN SPORT AVIATION,1
1757,YAKOVLEV/CHINNERY,1
1758,AVES DOUGLAS JAMES,1
1759,DORMAIER MONTE R,1
1760,STROPKI PAUL,1
1761,VAN HOOMISSEN GERALD J,1
1762,MCCLUSKEY,1
1763,HEFTY,1
1764,DIETERICH ROBERT A,1
1765,LITTLE EAGLE,1
1766,JEFFERY D TUTTLE,1
